Path,Name,Default Culture,Key,en,Comment,fr-fr
eVolveMEP Data Table Tools/AddMappingDialog,$this.Text,Add Column Mapping,eVolveMEP Data Table Tools/AddMappingDialog!$this.Text,Add Column Mapping,,Ajouter une correspondance des colonnes
eVolveMEP Data Table Tools/ToolsDialog,ApplyButton.Text,Apply,eVolveMEP Data Table Tools/ToolsDialog!ApplyButton.Text,Apply,,Appliquer
eVolveMEP CSV Data Exchange/ConfigurationForm,ApplyButton.Text,Apply,eVolveMEP CSV Data Exchange/ConfigurationForm!ApplyButton.Text,Apply,,Appliquer
eVolveMEP Data Table Tools/Properties/Resources,ButtonText,"Data Table
Tools",eVolveMEP Data Table Tools/Properties/Resources!ButtonText,"Data Table
Tools",,"Tableau de données
Outils"
eVolveMEP CSV Data Exchange/Properties/Resources,ButtonText,"CSV Data
Exchange",eVolveMEP CSV Data Exchange/Properties/Resources!ButtonText,"CSV Data
Exchange",,"Échange de
données CSV"
eVolveMEP Data Table Tools/ToolsDialog,Cancel_Button.Text,Cancel,eVolveMEP Data Table Tools/ToolsDialog!Cancel_Button.Text,Cancel,,Annuler
eVolveMEP Data Table Tools/TextInputDialog,Cancel_Button.Text,Cancel,eVolveMEP Data Table Tools/TextInputDialog!Cancel_Button.Text,Cancel,,Annuler
eVolveMEP Data Table Tools/AddMappingDialog,Cancel_Button.Text,Cancel,eVolveMEP Data Table Tools/AddMappingDialog!Cancel_Button.Text,Cancel,,Annuler
eVolveMEP CSV Data Exchange/ConfigurationForm,Cancel_Button.Text,Cancel,eVolveMEP CSV Data Exchange/ConfigurationForm!Cancel_Button.Text,Cancel,,Annuler
eVolveMEP Data Table Tools/ToolsDialog,ChangeColumnTypeButton.Text,Apply,eVolveMEP Data Table Tools/ToolsDialog!ChangeColumnTypeButton.Text,Apply,,Appliquer
eVolveMEP Data Table Tools/ToolsDialog,ChangeColumnTypeColumnLabel.Text,Column,eVolveMEP Data Table Tools/ToolsDialog!ChangeColumnTypeColumnLabel.Text,Column,,Colonne
eVolveMEP Data Table Tools/ToolsDialog,ChangeColumnTypeDataTypeLabel.Text,Change To,eVolveMEP Data Table Tools/ToolsDialog!ChangeColumnTypeDataTypeLabel.Text,Change To,,Remplacer par
eVolveMEP Data Table Tools/ToolsDialog,ChangeColumnTypeGroupBox.Text,Change Column Type,eVolveMEP Data Table Tools/ToolsDialog!ChangeColumnTypeGroupBox.Text,Change Column Type,,Modifier le type de colonne
eVolveMEP Data Table Tools/ToolsDialog,ColumnInfoGroupBox.Text,Column Information,eVolveMEP Data Table Tools/ToolsDialog!ColumnInfoGroupBox.Text,Column Information,,Informations sur la colonne
eVolveMEP Data Table Tools/Properties/Resources,ColumnInfoName_DataType,Data Type,eVolveMEP Data Table Tools/Properties/Resources!ColumnInfoName_DataType,Data Type,,Type de données
eVolveMEP Data Table Tools/Properties/Resources,ColumnInfoName_Expression,Expression,eVolveMEP Data Table Tools/Properties/Resources!ColumnInfoName_Expression,Expression,"Formula expression, ex. Col1+Col2",Expression
eVolveMEP Data Table Tools/Properties/Resources,ColumnInfoName_Name,Name,eVolveMEP Data Table Tools/Properties/Resources!ColumnInfoName_Name,Name,,Nom
eVolveMEP Data Table Tools/Properties/Resources,ColumnInfoName_Order,Order,eVolveMEP Data Table Tools/Properties/Resources!ColumnInfoName_Order,Order,Sequential order,Ordre
eVolveMEP Data Table Tools/ToolsDialog,ColumnToolsTabPage.Text,Column Tools,eVolveMEP Data Table Tools/ToolsDialog!ColumnToolsTabPage.Text,Column Tools,,Outils des colonnes
eVolveMEP Data Table Tools/Properties/Resources,Connect,Connect,eVolveMEP Data Table Tools/Properties/Resources!Connect,Connect,,Se connecter
eVolveMEP Data Table Tools/Properties/Resources,Connected,Connected,eVolveMEP Data Table Tools/Properties/Resources!Connected,Connected,,Connecté
eVolveMEP Data Table Tools/Properties/Resources,CouldNotConvertValueWarning,"One or more values were not able to be converted to the target type.
The default value was applied in this situation.",eVolveMEP Data Table Tools/Properties/Resources!CouldNotConvertValueWarning,"One or more values were not able to be converted to the target type.
The default value was applied in this situation.",,"Une ou plusieurs valeurs n'ont pas pu être converties dans le type cible.
La valeur par défaut est appliquée dans cette situation."
eVolveMEP CSV Data Exchange/Properties/Resources,CsvFiles,CSV Files,eVolveMEP CSV Data Exchange/Properties/Resources!CsvFiles,CSV Files,,Fichiers CSV
eVolveMEP Data Table Tools/AddMappingDialog,DataTableColumnGroupBox.Text,Source Data Table Column,eVolveMEP Data Table Tools/AddMappingDialog!DataTableColumnGroupBox.Text,Source Data Table Column,,Colonne du tableau de données source
eVolveMEP Data Table Tools/ToolsDialog,DataTableExpressionHelpLabel.Text,View syntax,eVolveMEP Data Table Tools/ToolsDialog!DataTableExpressionHelpLabel.Text,View syntax,,Voir la syntaxe
eVolveMEP Data Table Tools/ToolsDialog,DataTableLabel.Text,Data Table,eVolveMEP Data Table Tools/ToolsDialog!DataTableLabel.Text,Data Table,,Tableau des données
eVolveMEP CSV Data Exchange/ConfigurationForm,DelimiterCommaRadioButton.Text,Comma,eVolveMEP CSV Data Exchange/ConfigurationForm!DelimiterCommaRadioButton.Text,Comma,,Virgule
eVolveMEP CSV Data Exchange/ConfigurationForm,DelimiterGroupBox.Text,Delimiter,eVolveMEP CSV Data Exchange/ConfigurationForm!DelimiterGroupBox.Text,Delimiter,,Séparateur
eVolveMEP CSV Data Exchange/ConfigurationForm,DelimiterTabRadioButton.Text,Tab,eVolveMEP CSV Data Exchange/ConfigurationForm!DelimiterTabRadioButton.Text,Tab,,Tabulation
eVolveMEP CSV Data Exchange/ConfigurationForm,DirectionGroupBox.Text,Direction,eVolveMEP CSV Data Exchange/ConfigurationForm!DirectionGroupBox.Text,Direction,,Sens
eVolveMEP Data Table Tools/Properties/Resources,Disconnect,Disconnect,eVolveMEP Data Table Tools/Properties/Resources!Disconnect,Disconnect,,Déconnecter
eVolveMEP CSV Data Exchange/Properties/Resources,ErrorOccurredNotice,An error occurred during processing.,eVolveMEP CSV Data Exchange/Properties/Resources!ErrorOccurredNotice,An error occurred during processing.,,Une erreur s'est produite lors du traitement.
eVolveMEP Data Table Tools/Properties/Resources,eVolveElectrical,eVolve Electrical,eVolveMEP Data Table Tools/Properties/Resources!eVolveElectrical,eVolve Electrical,,eVolve Electrical
eVolveMEP CSV Data Exchange/Properties/Resources,eVolveElectrical,eVolve Electrical,eVolveMEP CSV Data Exchange/Properties/Resources!eVolveElectrical,eVolve Electrical,,eVolve Electrical
eVolveMEP Data Table Tools/Properties/Resources,eVolveMechanical,eVolve Mechanical,eVolveMEP Data Table Tools/Properties/Resources!eVolveMechanical,eVolve Mechanical,,eVolve Mechanical
eVolveMEP CSV Data Exchange/Properties/Resources,eVolveMechanical,eVolve Mechanical,eVolveMEP CSV Data Exchange/Properties/Resources!eVolveMechanical,eVolve Mechanical,,eVolve Mechanical
eVolveMEP Data Table Tools/Properties/Resources,ExportColumnNotFoundError,The column '{0}' was not found in {1} '{2}'.,eVolveMEP Data Table Tools/Properties/Resources!ExportColumnNotFoundError,The column '{0}' was not found in {1} '{2}'.,,La colonne « {0} » a été trouvée dans {1} « {2} ».
eVolveMEP CSV Data Exchange/Properties/Resources,ExportColumn_ProjectName,Project Name,eVolveMEP CSV Data Exchange/Properties/Resources!ExportColumn_ProjectName,Project Name,,Nom du projet
eVolveMEP CSV Data Exchange/Properties/Resources,ExportColumn_ProjectNumber,Project Number,eVolveMEP CSV Data Exchange/Properties/Resources!ExportColumn_ProjectNumber,Project Number,,Numéro de projet
eVolveMEP CSV Data Exchange/Properties/Resources,ExportColumn_Timestamp,Current Date/Time,eVolveMEP CSV Data Exchange/Properties/Resources!ExportColumn_Timestamp,Current Date/Time,,Date/Heure actuelle
eVolveMEP CSV Data Exchange/Properties/Resources,ExportColumn_UserName,User Name,eVolveMEP CSV Data Exchange/Properties/Resources!ExportColumn_UserName,User Name,,Nom de l'utilisateur
eVolveMEP CSV Data Exchange/Properties/Resources,ExportColumn_WorkstationName,Workstation Name,eVolveMEP CSV Data Exchange/Properties/Resources!ExportColumn_WorkstationName,Workstation Name,,Nom du poste de travail
eVolveMEP CSV Data Exchange/Properties/Resources,ExportCompleted,Export Completed,eVolveMEP CSV Data Exchange/Properties/Resources!ExportCompleted,Export Completed,,Exportation terminée
eVolveMEP CSV Data Exchange/Properties/Resources,ExportCsvData,Export CSV Data,eVolveMEP CSV Data Exchange/Properties/Resources!ExportCsvData,Export CSV Data,,Exporter les données CSV
eVolveMEP CSV Data Exchange/ConfigurationForm,ExportRadioButton.Text,Export,eVolveMEP CSV Data Exchange/ConfigurationForm!ExportRadioButton.Text,Export,,Exporter
eVolveMEP Data Table Tools/ToolsDialog,ExpressionColumnAddButton.Text,Add,eVolveMEP Data Table Tools/ToolsDialog!ExpressionColumnAddButton.Text,Add,,Ajouter
eVolveMEP Data Table Tools/ToolsDialog,ExpressionColumnDataTypeLabel.Text,Data Type,eVolveMEP Data Table Tools/ToolsDialog!ExpressionColumnDataTypeLabel.Text,Data Type,,Type de données
eVolveMEP Data Table Tools/ToolsDialog,ExpressionColumnExpressionGroupBox.Text,Expression,eVolveMEP Data Table Tools/ToolsDialog!ExpressionColumnExpressionGroupBox.Text,Expression,,Expression
eVolveMEP Data Table Tools/ToolsDialog,ExpressionColumnGroupBox.Text,Add Expression Column,eVolveMEP Data Table Tools/ToolsDialog!ExpressionColumnGroupBox.Text,Add Expression Column,,Ajouter une colonne d'expression
eVolveMEP Data Table Tools/ToolsDialog,ExpressionColumnNameLabel.Text,Column Name,eVolveMEP Data Table Tools/ToolsDialog!ExpressionColumnNameLabel.Text,Column Name,,Nom de la colonne
eVolveMEP CSV Data Exchange/ConfigurationForm,FileBrowseButton.Text,Browse,eVolveMEP CSV Data Exchange/ConfigurationForm!FileBrowseButton.Text,Browse,,Parcourir
eVolveMEP CSV Data Exchange/ConfigurationForm,FileGroupBox.Text,Target File,eVolveMEP CSV Data Exchange/ConfigurationForm!FileGroupBox.Text,Target File,,Fichier cible
eVolveMEP Data Table Tools/Properties/Resources,FileLoadFailure,Load Failure,eVolveMEP Data Table Tools/Properties/Resources!FileLoadFailure,Load Failure,,Échec du chargement
eVolveMEP CSV Data Exchange/Properties/Resources,FileLoadFailure,Load Failure,eVolveMEP CSV Data Exchange/Properties/Resources!FileLoadFailure,Load Failure,,Échec du chargement
eVolveMEP Data Table Tools/Properties/Resources,FileSaveFailure,Save Failure,eVolveMEP Data Table Tools/Properties/Resources!FileSaveFailure,Save Failure,,Échec de l'enregistrement
eVolveMEP CSV Data Exchange/Properties/Resources,FileSaveFailure,Save Failure,eVolveMEP CSV Data Exchange/Properties/Resources!FileSaveFailure,Save Failure,,Échec de l'enregistrement
eVolveMEP CSV Data Exchange/Properties/Resources,ImportCompleted,Import Completed,eVolveMEP CSV Data Exchange/Properties/Resources!ImportCompleted,Import Completed,,Importation terminée
eVolveMEP CSV Data Exchange/Properties/Resources,ImportCsvData,Import CSV Data,eVolveMEP CSV Data Exchange/Properties/Resources!ImportCsvData,Import CSV Data,,Importer les données CSV
eVolveMEP CSV Data Exchange/ConfigurationForm,ImportRadioButton.Text,Import,eVolveMEP CSV Data Exchange/ConfigurationForm!ImportRadioButton.Text,Import,,Importer
eVolveMEP Data Table Tools/Properties/Resources,ImportStatementPromptInfo,Enter the SQL Select statement which will be used to populate the selected {0}. The SQL results will be used to define the column names and their respective data type.,eVolveMEP Data Table Tools/Properties/Resources!ImportStatementPromptInfo,Enter the SQL Select statement which will be used to populate the selected {0}. The SQL results will be used to define the column names and their respective data type.,,Saisissez l'énoncé SQL Select à utiliser pour remplir le {0} sélectionné. Les résultats SQL seront utilisés pour définir les noms des colonnes et leur type de données respectif.
eVolveMEP Data Table Tools/TextInputDialog,InstructionsLabel.Text,InstructionsLabel,eVolveMEP Data Table Tools/TextInputDialog!InstructionsLabel.Text,InstructionsLabel,,InstructionsLabel
eVolveMEP CSV Data Exchange/Properties/Resources,IssuesMustBeAddressedNotice,Please address the following issues:,eVolveMEP CSV Data Exchange/Properties/Resources!IssuesMustBeAddressedNotice,Please address the following issues:,,Veuillez résoudre les problèmes suivants :
eVolveMEP CSV Data Exchange/Properties/Resources,NoDataNotice,CSV file contained no usable data.,eVolveMEP CSV Data Exchange/Properties/Resources!NoDataNotice,CSV file contained no usable data.,,Le fichier CSV ne contenait aucune donnée utile.
